ID,Genre
410,video game music
411,neo-classical
412,jazz pop
413,show tunes
414,rap canario
415,mollywood
416,sufi
417,swedish hip hop
418,turkish alt pop
419,hollywood
420,spanish rock
421,nursery
422,irish singer-songwriter
423,electro latino
424,shimmer pop
425,lullaby
426,korean r&b
427,baton rouge rap
428,skate punk
429,grime
430,country pop
431,german rock
432,nigerian hip hop
433,russian pop
434,noise pop
435,speed metal
436,canadian trap
437,indonesian indie
438,rap marseille
439,vallenato
440,kentucky hip hop
441,ohio hip hop
442,la pop
443,swedish trap pop
444,salsa puertorriquena
445,environmental
446,musica para ninos
447,french indie pop
448,hindi hip hop
449,tollywood
450,ambient pop
451,stutter house
452,cloud rap francais
453,jazz blues
454,background piano
455,lagu jawa
456,florida drill
457,cuarteto
458,dreamo
459,turbo folk
460,pinoy hip hop
461,czsk hip hop
462,rap napoletano
463,chicago drill
464,japanese singer-songwriter
465,oxford indie
466,new rave
467,french rock
468,swedish electropop
469,classic j-pop
470,polish pop
471,drill francais
472,new jack swing
473,canadian singer-songwriter
474,drill espanol
475,gym hardstyle
476,indonesian singer-songwriter
477,dangdut
478,swing
479,deep house
480,new french touch
481,industrial
482,uk alternative pop
483,coverchill
484,hare krishna
485,complextro
486,kollywood
487,uk metalcore
488,baroque
489,el paso indie
490,flamenco urbano
491,modern indie folk
492,country rap
493,early music
494,glitchcore
495,cantopop
496,bachata dominicana
497,modern folk rock
498,egyptian pop
499,mexican indie
500,bubblegrunge
501,beatlesque
502,norwegian pop
503,meditation
504,symphonic metal
505,arabesk
506,german drill
507,deep underground hip hop
508,electronic trap
509,classic pakistani pop
510,electric blues
511,weirdcore
512,late romantic era
513,chill r&b
514,meme rap
515,viral rap
516,japanese vgm
517,funk ostentacao
518,trap funk
519,arrochadeira
520,indie r&b
521,pop rock brasileiro
522,previa
523,blues
524,covertronica
525,pagode baiano
526,indie rock italiano
527,bhojpuri pop
528,neue deutsche harte
529,scandipop
530,classic canadian rock
531,meme
532,belgian edm
533,indonesian jazz
534,contemporary vocal jazz
535,nu-cumbia
536,rap dominicano
537,anime score
538,classic swedish pop
539,ambient lo-fi
540,swamp rock
541,vocaloid
542,classical era
543,pakistani hip hop
544,australian psych
545,australian indie
546,instrumental hip hop
547,c-pop
548,old school atlanta hip hop
549,indonesian rock
550,punk blues
551,taiwan pop
552,power pop
553,schlager
554,chillhop
555,russian trap
556,nz pop
557,gujarati pop
558,memphis soul
559,musica popular colombiana
560,mambo chileno
561,christian rock
562,classic indonesian rock
563,early romantic era
564,edmonton indie
565,sacramento indie
566,jam band
567,drum and bass
568,melbourne bounce international
569,dutch rap pop
570,dangdut koplo
571,turkish folk
572,golden age hip hop
573,javanese dangdut
574,post-punk argentina
575,alternative emo
576,greek trap
577,post-punk
578,hamburg hip hop
579,soul blues
580,pop rap brasileiro
581,venezuelan hip hop
582,j-pixie
583,cantautora mexicana
584,deep euro house
585,pop lgbtq+ brasileira
586,bass house
587,nouvelle chanson francaise
588,crunk
589,electro
590,operatic pop
591,spanish indie pop
592,celtic rock
593,vietnamese hip hop
594,p-pop
595,indie hip hop
596,stoner rock
597,pop house
598,bubblegum pop
599,argentine indie
600,modern bhajan
601,new york drill
602,red dirt
603,irish pop
604,danish hip hop
605,progressive metal
606,canadian metal
607,malaysian pop
608,countrygaze
609,indie garage rock
610,etherpop
611,ska
612,bebop
613,funk pop
614,chilean rock
615,chinese viral pop
616,turkce drill
617,australian electropop
618,musica de fondo
619,philly indie
620,hip house
621,post-romantic era
622,swedish gangsta rap
623,dancefloor dnb
624,comic
625,scenecore
626,piano cover
627,rumba
628,electra
629,korean pop
630,reggae rock
631,dance-punk
632,chill pop
633,german alternative rap
634,canadian indie
635,preschool children's music
636,moombahton
637,tagalog rap
638,background music
639,funk bh
640,torch song
641,indie surf
642,italian underground hip hop
643,pop romantico
644,dutch rock
645,rome indie
646,uk drill
647,protopunk
648,shush
649,smooth jazz
650,j-poprock
651,old school hip hop
652,ectofolk
653,small room
654,turkish singer-songwriter
655,indonesian r&b
656,kentucky roots
657,turkish alternative rock
658,bedroom soul
659,cartoon
660,modern salsa
661,writing
662,background jazz
663,lo-fi jazzhop
664,musica infantil
665,romanian pop
666,gauze pop
667,chillwave
668,deep ccm
669,norteno-sax
